"SampleID","group"
"GSM1269647",1
"GSM1269655",1
"GSM1269663",1
"GSM1269671",1
"GSM1269679",1
"GSM1269693",1
"GSM1269701",1
"GSM1269709",1
"GSM1269715",1
"GSM1269717",1
"GSM1269721",1
"GSM1269723",1
"GSM1269645",1
"GSM1269653",1
"GSM1269661",1
"GSM1269669",1
"GSM1269677",1
"GSM1269685",1
"GSM1269691",1
"GSM1269699",1
"GSM1269707",1
"GSM1269651",1
"GSM1269659",1
"GSM1269667",1
"GSM1269675",1
"GSM1269683",1
"GSM1269689",1
"GSM1269697",1
"GSM1269705",1
"GSM1269713",1
"GSM1269719",1
"GSM1269725",1
"GSM1269727",1
"GSM1269649",1
"GSM1269657",1
"GSM1269665",1
"GSM1269673",1
"GSM1269681",1
"GSM1269687",1
"GSM1269695",1
"GSM1269703",1
"GSM1269711",1
"GSM1269646",0
"GSM1269654",0
"GSM1269662",0
"GSM1269670",0
"GSM1269678",0
"GSM1269692",0
"GSM1269700",0
"GSM1269708",0
"GSM1269714",0
"GSM1269716",0
"GSM1269720",0
"GSM1269722",0
"GSM1269644",0
"GSM1269652",0
"GSM1269660",0
"GSM1269668",0
"GSM1269676",0
"GSM1269684",0
"GSM1269690",0
"GSM1269698",0
"GSM1269706",0
"GSM1269650",0
"GSM1269658",0
"GSM1269666",0
"GSM1269674",0
"GSM1269682",0
"GSM1269688",0
"GSM1269696",0
"GSM1269704",0
"GSM1269712",0
"GSM1269718",0
"GSM1269724",0
"GSM1269726",0
"GSM1269648",0
"GSM1269656",0
"GSM1269664",0
"GSM1269672",0
"GSM1269680",0
"GSM1269686",0
"GSM1269694",0
"GSM1269702",0
"GSM1269710",0
